Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,298
Bangkok,9706
Bueng Kan,≤100
Buriram,328
Chachoengsao,242
Chai Nat,≤100
Chaiyaphum,258
Chanthaburi,218
Chiang Mai,931
Chiang Rai,335
Chon Buri,773
Chumphon,257
Kalasin,187
Kamphaeng Phet,173
Kanchanaburi,238
Khon Kaen,476
Krabi,231
Lampang,1854
Lamphun,145
Loei,159
Lop Buri,182
Mae Hong Son,121
Maha Sarakham,225
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,571
Nakhon Phanom,186
Nakhon Ratchasima,664
Nakhon Sawan,317
Nakhon Si Thammarat,766
Nan,119
Narathiwat,148
Nong Bua Lam Phu,106
Nong Khai,125
Nonthaburi,815
Pathum Thani,530
Pattani,244
Phangnga,≤100
Phatthalung,357
Phayao,135
Phetchabun,200
Phetchaburi,176
Phichit,149
Phitsanulok,276
Phrae,187
Phuket,328
Prachin Buri,155
Prachuap Khiri Khan,223
Ranong,≤100
Ratchaburi,374
Rayong,390
Roi Et,258
Sa Kaeo,143
Sakon Nakhon,315
Samut Prakan,408
Samut Sakhon,2075
Samut Songkhram,≤100
Saraburi,260
Satun,≤100
Sing Buri,≤100
Sisaket,317
Songkhla,811
Sukhothai,151
Suphan Buri,226
Surat Thani,537
Surin,308
Tak,158
Trang,690
Trat,≤100
Ubon Ratchathani,518
Udon Thani,374
Unknown,≤100
Uthai Thani,≤100
Uttaradit,119
Yala Province,188
Yasothon,117
