Location name,Amount spent (EGP)
Al Sharqia Governorate,2958
Alexandria Governorate,3217
Aswan Governorate,552
Asyut Governorate,1295
Beheira Governorate,1828
Beni Suef Governorate,801
Cairo Governorate,5586
Dakahlia Governorate,3513
Damietta Governorate,1105
Faiyum Governorate,923
Gharbia Governorate,2459
Giza Governorate,1801
Ismailia Governorate,1172
Kafr el-Sheikh Governorate,1659
Luxor Governorate,347
Matrouh Governorate,174
Minya Governorate,1346
Monufia Governorate,1648
New Valley Governorate,164
North Sinai Governorate,316
Port Said Governorate,793
Qalyubia Governorate,1567
Qena Governorate,864
Red Sea Governorate,258
Sohag Governorate,1456
South Sinai Governorate,124
Suez Governorate,436
Unknown,≤100
