Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
643137272398136,Sverige för UNHCR,Sverige för UNHCR,44691,43
608975645850217,Vattenfall,Vattenfall Sverige,36296,33
151159271594797,Systembolaget,Systembolaget,25182,5
382243262003,Plan International Sverige,Plan International Sverige,14976,30
95735961890,Greenpeace Sverige,Greenpeace Sverige,12862,176
59324455950,UNICEF Sverige,UNICEF Sverige,11822,14
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,11699,31
114526821939129,Arla,Arla,9632,5
109886133732943,RESCUE - Sverige,RESCUE - Sverige,9494,3
111630258867610,Röda Korset,Röda Korset,9202,16
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),8550,37
162985227114132,Skellefteå Kraft,Skellefteå Kraft,7894,7
161213770567846,Operation Smile Sverige,Operation Smile Sverige,7769,7
369582590803,Dagens ETC,ETC-tidningarna,7328,35
237146235237,Timbro,Tankesmedjan Timbro,5700,35
1757191391203190,Proethos fond,Proethos AB,5304,2
101341883359561,Matsmart Sverige,Matsmart,4450,23
72659261793,Rädda Barnen,Rädda Barnen,4246,57
279974638809211,Oxfam Sverige,Oxfam Sverige,2989,4
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,2925,60
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,2647,50
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,2340,5
186513678039755,Fortum,Fortum Sverige,2324,31
131103013625213,Statens institutionsstyrelse,Statens institutionsstyrelse - SiS,2103,6
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,2016,4
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,1680,8
42676805259,Diakonia,Diakonia,1506,5
24574889995,Charlie Weimers MEP,Charlie Weimers,1424,2
266170183550491,Nya Kompisbyrån,Nya Kompisbyrån,1406,11
212049035488183,The Hunger Project Sverige,The Hunger Project Sverige,1259,8
8040892957,Socialdemokraterna,Socialdemokraterna,1178,29
1633181116933852,SvD Junior,SvD Junior (SvD),1147,11
111699453757094,Soft Towel Games,These ads ran without a disclaimer,1136,3
107411260903386,Emyze. All in for less.,These ads ran without a disclaimer,1067,5
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,1048,29
212604496324,Fackförbundet ST,Fackförbundet ST,1011,64
314872662206,Ekonomifakta,Ekonomifakta,989,59
1534982756793690,Foodvisor,These ads ran without a disclaimer,932,2
379686162129542,Svea Bank,Svea Ekonomi,798,5
125777020786691,Mikael Damberg,Socialdemokraterna,756,4
