Page ID,Page name,Disclaimer,Amount spent (NGN),Number of ads in Library
681779338505564,Yiaga Africa,Yiaga Africa with Facebook Ad Credits,1129717,7
102869596002305,Office Of The Citizen Nigeria,Fix Politics,111558,47
102823605038626,Phoenix Relations,Phoenix Relations,108912,9
105756478574505,Stears,Stears,95484,12
252185758819200,Babajide Sanwo-Olu,Babajide Sanwo-Olu,62630,10
126460284139483,Nigerianeye,NigerianEye,52454,2
163415157011050,Elevation NG,The Elevation Church,34109,7
111671415154722,The Time is Now,Team Caleb Mutfwang,28592,5
111671415154722,The Time is Now,Team Caleb Mutfwang,28592,5
277754446181585,Tonye Cole,Tonye Cole,25371,1
492378324116772,The Lagos State Government,The Lagos State Government,23400,1
903423006458068,Orodata Science,Orodata Science,23061,8
205279466743027,Lux Terra Leadership Foundation,Lux Terra Leadership Foundation,22914,5
100483822974503,PETER obi for presidency,These ads ran without a disclaimer,20466,1
116248814706806,Vote4climateng,Adebiyi Agnes,14074,10
312632449480846,Governor Ifeanyi A. Okowa,Governor Ifeanyi A. Okowa,10149,2
101869379342374,Queen Lillian Adewole Adebayo,Umari Ayim,7628,3
522773744459687,Template for Good Governance,Ogbe Chukwunonso Daniel,6534,1
1483156181977342,Precious Eze's Blog,Precious Eze's Blog,6465,8
101018389512733,Ghali Mustapha,Ahmad Muazu,6347,4
114009474939343,Hon. Collins Ezenwa Ilo,Collins Ezenwa Ilo,5831,3
100202924924063,Page 36,Page 36,5803,21
109012388205370,busybeessisters,These ads ran without a disclaimer,5685,1
100357172823685,Sanusi BICHI for Jagaban,Sanusi BICHI for Jagaban,5507,2
109450211203581,A Senator For All,Azeez Olasunkanmi Lekan,5307,3
103018869332378,BantuPage,Ikechukwu Orji,4712,2
331985171374192,Catch Them Young Community Initiative,Philemon Nwakile,4678,3
110808857137968,Marilyn Okowa-Daramola,Marilyn Okowa-Daramola,4613,1
101075832871727,Progressives For Renewed Hope,Progressives For Renewed Hope,4153,7
