Location name,Amount spent (NGN)
Abia State,79400
Adamawa State,31915
Akwa Ibom State,47597
Anambra State,55389
Bauchi State,26246
Bayelsa State,8715
Benué State,34178
Borno State,26701
Cross River State,24989
Delta State,70490
Ebonyi State,11329
Edo State,39719
Ekiti State,10840
Enugu State,53335
Federal Capital Territory,172678
Gombe State,24953
Imo State,53290
Jigawa State,7312
Kaduna State,88374
Kano State,155550
Katsina State,26078
Kebbi State,6701
Kogi State,24803
Kwara State,33298
Lagos State,435836
Nasarawa State,17830
Niger State,32108
Ogun State,25870
Ondo State,22166
Osun State,26240
Oyo State,89878
Plateau State,71417
Rivers State,100023
Sokoto State,20476
Taraba State,14837
Unknown,≤100
Yobe State,12042
Zamfara State,8931
