Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
141361183156268,Juan Carlos Upegui,Juan Carlos Upegui,1265799,3
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,1202882,19
103754197881668,Esteban Restrepo,Fredy Esteban Restrepo Taborda,1073726,2
1059459884138781,Mauricio Tobón Franco.,Mauricio Tobón Franco,738655,2
256488875025665,Juan Bocanegra,Juan Carlos Bocanegra Chacón,645877,2
348227052718193,Independientes,Independientes,604992,2
101871502791636,Carlos Acosta Juliao Oficial,Carlos Acosta Juliao Oficial,548419,6
251292808253299,Canadian College,Canadian College,500023,15
316256535073131,Gobernación de Antioquia,Gobernación de Antioquia,379793,10
301364506594738,Cumbre Mundial de Comunicación Política,Cumbre Mundial de Comunicación Política,342783,27
104472845840664,Juan Carlos Corrales,Juan Carlos Corrales,301960,6
415910721915879,Hector Fabio Velasco Hernandez,Hector Fabio Velasco,283502,16
105578134695113,Andree Uribe Montoya,Andree Uribe Montoya,259455,30
184284351706738,Lotería de Bogotá,Lotería de Bogotá,228837,3
664142747350164,Tatiana López Saldarriaga,Tatiana López Saldarriaga,213732,112
480612205430156,Deninson Mendoza,Deninson Mendoza Ramos,201770,3
499121313802137,Túnel Guillermo Gaviria Echeverri,Túnel Guillermo Gaviria Echeverri,197209,2
114317847146525,Alvaro Arias Velez,Alvaro Arias Velez,197192,2
381403022031226,Steven Cárdenas,Reynaldo Steven Cardenas Espinosaespinosa,196255,1
273861903433499,Lourdes López Flórez,Lourdes Del Rosario Lopez Flores,183746,2
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,182353,3
969143216462972,Felipe Cañizalez,Andreina Quintero Correa,169642,2
619776134722439,Secretaría Distrital de Salud,Secretaría Distrital de Salud,167778,6
103848281985172,Mauricio Londoño,Mauricio Londoño,146813,1
100232346317619,David Enrique Arango Quintana,David Enrique Arango Quintana,145687,8
108827338788235,Por la defensa de Cali,POR LA DEFENSA DE CALI,132895,2
601336570076276,Rodolfo Correa,Rodolfo Andres Vargas Correa,122948,5
103575326004904,German Pacheco Hawkins,German Pacheco Hawkins,116929,3
308580499200723,Alcaldía de Medellín,Alcaldia de Medellìn,103798,8
107204794960194,Instituto Técnico La Salle,Instituto Técnico La Salle,99876,15
1622001728047397,Harman Alcalde,Harman Alcalde,96972,16
264104919248,Alcaldía Distrital de Barranquilla,Alcaldía Distrital de Barranquilla,96522,9
391099551688976,Manuel Correa,Manuel Correa,94615,1
214167541938411,Juan Pablo Gallo,Juan Pablo Gallo,91272,37
108158921672438,Llener Borja,Alvaro Jose Gomez Ramirez,88584,4
105437204540183,Miyerlandi Torres A,Miyerlandi Torres A,84510,4
108576731393581,Juliana Enciso,Claudia Juliana Enciso Montes,82187,2
201014753267112,Andrés Fernando Mesa Valencia,Andres Fernando Mesa Valencia,77348,4
102752811395566,Harvey Restrepo M,Harvey Restrepo Muñoz,73955,2
175346789490397,Peyi Paternina,Peyi Paternina,73673,2
100119084876379,Lida Escobar,Lida Beatriz Escobar Leal,71937,2
157146724439549,Luis Bernardo Vélez,Luis Bernardo Vélez,64877,5
734195543347719,Javier Julio Bejarano,Javier Julio Bejarano,64093,1
108233262091178,David Islem R,David Islem R,61895,2
104969865721375,Profes.movimientociudadano,John Bazurto,56215,6
105848177845789,All Out en español,All Out Action Fund,55088,2
116430736811606,Ever Villegas,Ever Antonio Villegas Morante,50928,28
101180852910189,Sentimiento de Todos,Equipo Comunicaciones Sentimiento de Todos,50000,3
1293477610766656,Canvas: Escuela de Comunicación Política,These ads ran without a disclaimer,49725,2
