Location name,Amount spent (NGN)
Abia State,2152
Adamawa State,1435
Akwa Ibom State,1629
Anambra State,1944
Bauchi State,1263
Bayelsa State,943
Benué State,611
Borno State,694
Cross River State,513
Delta State,5057
Ebonyi State,279
Edo State,3686
Ekiti State,406
Enugu State,704
Federal Capital Territory,5754
Gombe State,360
Imo State,1505
Jigawa State,186
Kaduna State,3692
Kano State,5443
Katsina State,565
Kebbi State,192
Kogi State,455
Kwara State,1779
Lagos State,16606
Nasarawa State,417
Niger State,1759
Ogun State,740
Ondo State,1089
Osun State,839
Oyo State,6893
Plateau State,1865
Rivers State,12387
Sokoto State,612
Taraba State,751
Unknown,≤100
Yobe State,440
Zamfara State,302
