Page ID,Page name,Disclaimer,Amount spent (BAM),Number of ads in Library
332950850203871,Драшко Станивуковић - Draško Stanivuković,Драшко Станивуковић,277,7
305608429284,EU Environment,These ads ran without a disclaimer,≤100,1
111544041335161,Antikorupcija info,Antikorupcija.info,≤100,18
162926690478548,Oslobodjenje,Oslobodjenje,≤100,4
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100,16
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100,10
124306738411862,InfoRadar,Udruženje za medijski aktivizam (UMA),≤100,3
1494057107558990,Javna rasprava,Javna rasprava,≤100,22
197596636939679,tacno.net,Tacno.net,≤100,1
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,≤100,4
111544041335161,Antikorupcija info,Antikorupcija info,≤100,8
1570886583203959,Poslovni portal Capital.ba,Capital Media,≤100,11
109652028193268,Revizije info,Revizije info,≤100,8
105842642438187,Nihad Uk,Nihad Uk,≤100,2
100337704927225,Dučić Arslan,Arslan Ducic,≤100,3
147315858633088,Istinomjer,Istinomjer,≤100,5
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100,3
1607622842896752,interview.ba,Fondacija Infohuse,≤100,5
110760128594320,Muhamed Hasanović,Muhamed Hasanovic,≤100,3
109774791831087,Славенко Ристић - лидер Републичке странке Српске,Filip Lučić,≤100,1
103088084884704,Fondacija Atelje za društvene promjene - ACT,Fondacija Atelje za društvene promjene - ACT,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
326185650853734,Zukan Helez,OO SDP BiH Bugojno,≤100,1
163080080447411,Републичка странка Српске,Filip Lučić,≤100,1
2401351939921390,Raport.ba,Raport Media Group,≤100,1
1676047195961611,Impuls,"Udruženje građana ""Impuls""",≤100,1
113335433357256,Ecosystems2030,These ads ran without a disclaimer,≤100,1
306474736844372,Narod i Pravda Novi Grad Sarajevo,Narod i Pravda Novi Grad Sarajevo,≤100,1
104138845736466,Nenad Lalović - Ненад Лаловић,Nenad Lalović,≤100,1
103027944875536,Маја Драгојевић Стојић - Maja Dragojević Stojić,Предраг Кукољ,≤100,1
85069283164,Admir Čavalić,Admir Čavalić,≤100,2
222968021092962,RTV Slon - Tuzla,RTV SLON,≤100,1
1454304308161318,"Koalicija ""Pod lupom""","Koalicija ""Pod lupom""",≤100,1
100187109256916,Ustajte Diskriminisani,Ustajte Diskriminisani,≤100,1
151296002169571,Jelena Trivic,Jelena Trivic,≤100,1
852370551453606,GARP,These ads ran without a disclaimer,≤100,1
185149939700,Mladiinfo,These ads ran without a disclaimer,≤100,1
105494315161744,talkdiplomacy,These ads ran without a disclaimer,≤100,1
142522189151259,European Association for the Education of Adults - EAEA,These ads ran without a disclaimer,≤100,1
469201610080869,Binance,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,2
105928559126021,,These ads ran without a disclaimer,≤100,1
118592938221174,ZTE Corporation,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,2
275329719279317,Lonely Orphans,These ads ran without a disclaimer,≤100,1
322277311634083,First Ascent,These ads ran without a disclaimer,≤100,2
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
