Location name,Amount spent (NGN)
Abia State,6647
Adamawa State,9377
Akwa Ibom State,4683
Anambra State,16601
Bauchi State,9887
Bayelsa State,5187
Benué State,2913
Borno State,4105
Cross River State,3001
Delta State,15023
Ebonyi State,1028
Edo State,14055
Ekiti State,1157
Enugu State,9742
Federal Capital Territory,92164
Gombe State,11350
Imo State,7874
Jigawa State,1515
Kaduna State,14746
Kano State,30281
Katsina State,6087
Kebbi State,2059
Kogi State,2670
Kwara State,5858
Lagos State,207739
Nasarawa State,4099
Niger State,7742
Ogun State,10274
Ondo State,2536
Osun State,3072
Oyo State,12101
Plateau State,4449
Rivers State,19380
Sokoto State,4021
Taraba State,1974
Unknown,≤100
Yobe State,2261
Zamfara State,1474
