Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,1878,8
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",1383,8
140536699429565,המכון למחקרי ביטחון לאומי,המכון למחקרי ביטחון לאומי,1040,5
279345532129864,ההסתדרות הציונית העולמית,ההסתדרות הציונית העולמית,974,2
104743111658191,Ron Ben Shushan,רון בן שושן,962,4
103907495935157,צו חירום,צו חירום,941,14
1416098465325051,ליברל - Liberal,ליברל - Liberal,888,4
106136394376777,Idan Yakov,Rama Yarimi,806,5
102865851897315,ארגון חברות הניקיון בישראל,ארגון חברות הניקיון בישראל,778,2
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר דיגיטל,721,5
500238833397356,ציפי ברנד,ציפי ברנד,712,4
1073548259341247,לובי 99,לובי 99,696,3
271404389601060,Yaakov Hagoel - יעקב חגואל,Yaakov Hagoel - יעקב חגואל,659,4
204780362875106,מקור ראשון,מקור ראשון,622,79
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,617,58
2275137472764041,התאחדות הקבלנים בוני הארץ,התאחדות הקבלנים בוני הארץ,605,3
340069009019,ice אייס,ice אייס,502,13
107217383988190,מגזין אפוק,Epoch Magazine,499,16
256244498134186,אגף הביטחון - משרד ראש הממשלה,אגף הביטחון - משרד ראש הממשלה,478,6
554308731366675,محامون من أجل إدارة سليمة - Lawyers for Good Governance,محامون من أجل إدارة سليمة - Lawyers for Good Governance,471,11
141721971504,Histadrut - ההסתדרות החדשה,Histadrut - ההסתדרות החדשה,462,4
109357148221010,"מירה שנן, חברת מועצת העיר רמת-גן",סיעת רמת-גן שלנו,462,1
604890186681585,מור ויצמן,Mor Weitzman,425,1
1913755198907011,"המרכז הרפואי לטיפול בהשמנה - ד""ר רז",המרכז הרפואי לטיפול בהשמנה,405,4
562900707171914,ליעד אילני לראשות עיריית רמת-גן,סיעת רמת-גן שלנו,401,1
401687276639883,רז קינסטליך - ראש עיריית ראשון לציון,רז קינסטליך - ראש עיריית ראשון לציון,395,1
160178307760913,מחזקים,מחזקים,388,2
153664638161877,מתן דיל- Matan Dil,מתן דיל- Matan Dil,386,6
109523830757998,דמוקרטtv,דרכנו,366,5
1997746613846395,קרן תקווה ישראל,קרן תקווה,365,6
102660785992341,צדק צדק תרדוף,Omer Feldman,362,1
119995701391029,בית בן-גוריון בתל אביב,בית בן גוריון,358,3
213801788683219,עיריית ראש העין,עיריית ראש העין,354,2
371986449521679,הקרן למורשת הכותל המערבי,Tal Sanderoni,354,25
172654247853282,Shenhav musanbar,Shenhav Musanbar,348,3
116311335054069,My Israel | ישראל שלי,My Israel | ישראל שלי,345,3
128641160502301,גלובס - Globes,גלובס - Globes,335,2
256546887847232,עיריית רמת גן,עיריית רמת גן,329,4
103624452596775,קידר פינגולד - לראשות המועצה האזורית יואב,יוניק מדיה,328,16
108037760571199,הקונגרס הישראלי,הקונגרס הישראלי,321,10
178433145502975,Avigdor Liberman - אביגדור ליברמן,ישראל ביתנו,316,2
197861515565,שתיל - شتيل - Shatil,שתיל - Shatil,314,9
198917210119704,שלום עכשיו,שלום עכשיו,306,5
1534982756793690,Foodvisor,These ads ran without a disclaimer,304,2
108787681841168,רישיון נשק בקליק,Michael Michel Levi,302,2
370270343005611,ישראל ביתנו,ישראל ביתנו,294,4
361464970647064,זהר בלום,זהר בלום,294,1
