Location name,Amount spent (NGN)
Abia State,4208
Adamawa State,1896
Akwa Ibom State,4292
Anambra State,3718
Bauchi State,1422
Bayelsa State,2607
Benué State,3059
Borno State,1467
Cross River State,2791
Delta State,7311
Ebonyi State,561
Edo State,2306
Ekiti State,653
Enugu State,7253
Federal Capital Territory,10305
Gombe State,5760
Imo State,3054
Jigawa State,382
Kaduna State,8251
Kano State,11763
Katsina State,1469
Kebbi State,1967
Kogi State,1626
Kwara State,1970
Lagos State,273334
Nasarawa State,1251
Niger State,3153
Ogun State,3076
Ondo State,1242
Osun State,1516
Oyo State,6315
Plateau State,19692
Rivers State,37844
Sokoto State,1158
Taraba State,2556
Unknown,≤100
Yobe State,630
Zamfara State,417
