Location name,Amount spent (NGN)
Abia State,1795
Adamawa State,351
Akwa Ibom State,1047
Anambra State,729
Bauchi State,389
Bayelsa State,147
Benué State,1431
Borno State,445
Cross River State,925
Delta State,9281
Ebonyi State,735
Edo State,746
Ekiti State,272
Enugu State,926
Federal Capital Territory,4258
Gombe State,2125
Imo State,538
Jigawa State,109
Kaduna State,1878
Kano State,3036
Katsina State,298
Kebbi State,185
Kogi State,171
Kwara State,481
Lagos State,15297
Nasarawa State,462
Niger State,487
Ogun State,564
Ondo State,511
Osun State,439
Oyo State,4954
Plateau State,2117
Rivers State,2173
Sokoto State,328
Taraba State,234
Unknown,≤100
Yobe State,217
Zamfara State,174
