Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
107217383988190,מגזין אפוק,Epoch Magazine,3442,17
141721971504,Histadrut - ההסתדרות החדשה,Histadrut - ההסתדרות החדשה,1708,9
1534418936869034,אתר החדשות דבר,אתר החדשות דבר,1404,32
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",1254,25
204780362875106,מקור ראשון,מקור ראשון,1028,112
103183301914371,כוח של אמא,Nataly Milner,969,1
109708842392860,מרכז השלטון המקומי בישראל,מרכז השלטון המקומי בישראל,934,14
325131448440639,מפלגת נעם,מפלגת נעם,898,54
161096657252221,שוברים שתיקה,שוברים שתיקה,852,19
137449656335533,Amnesty International Israel,Amnesty International Israel,807,11
108037760571199,הקונגרס הישראלי,הקונגרס הישראלי,798,20
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,788,13
140536699429565,המכון למחקרי ביטחון לאומי,המכון למחקרי ביטחון לאומי,750,5
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,730,2
849824028408565,תנועת אם תרצו,תנועת אם תרצו,612,17
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",602,28
205544429526773,תג מאיר: אור במקום טרור,תג מאיר: אור במקום טרור,588,2
1662907067255622,איגוד הגז הטבעי,Unik,573,4
103185328887035,דניאל ליזרוביץ',דניאל ליזרוביץ,552,1
111523625527552,התנועה לאיכות השלטון,התנועה לאיכות השלטון,540,4
182916765074767,אדם טבע ודין,אדם טבע ודין,517,6
604890186681585,מור ויצמן,Mor Weitzman,495,1
1913755198907011,"המרכז הרפואי לטיפול בהשמנה - ד""ר רז",המרכז הרפואי לטיפול בהשמנה,466,5
128834187134576,Ahmad Tibi احمد طيبي,Ahmad Tibi احمد طيبي,402,3
100614131548339,עמוס שפירא - ראש אחר לתל אביב-יפו,Amos Shapira,378,3
564755520233941,משרד מבקר המדינה ונציב תלונות הציבור,משרד מבקר המדינה ונציב תלונות הציבור,364,2
194200557275526,לשכת העיתונות הממשלתית,לשכת העיתונות הממשלתית,359,3
94258847306,האגודה לזכויות האזרח בישראל,האגודה לזכויות האזרח בישראל,352,8
158195257562237,מיכאל לייטמן,"בני ברוך קבלה לעם ע""ר",320,12
124894077550811,ישראל חופשית,ישראל חופשית,311,4
1095454130528850,עיריית מגדל העמק,עיריית מגדל העמק,306,1
295041184911,עמל- הרב תחומי,Amalnet,299,1
108787681841168,רישיון נשק בקליק,Michael Michel Levi,294,2
340069009019,ice אייס,ice אייס,289,12
1429610370619240,פרו אסטרטגיה - Pro Strategy,פרו אסטרטגיה,276,1
129709433742187,Shalem College - המרכז האקדמי שלם,Shalem College - המרכז האקדמי שלם,253,4
102660785992341,צדק צדק תרדוף,Omer Feldman,253,4
2275137472764041,התאחדות הקבלנים בוני הארץ,התאחדות הקבלנים בוני הארץ,247,1
534335679927121,מועצה אזורית עמק חפר,מועצה אזורית עמק חפר,244,1
212508465430143,מען ארגון עובדים  معًا - نقابة عمالية MAAN Workers Association,WAC-MAAN,232,6
500238833397356,ציפי ברנד,ציפי ברנד,219,1
136456246407342,לשכת סוכני ביטוח,Tal Sanderoni,218,14
1506163609667780,שקוף - גוף התקשורת של הציבור,שקוף,206,2
109523830757998,דמוקרטtv,דרכנו,178,3
1392138171047822,"ארגון נכי צה""ל","ארגון נכי צה""ל",175,1
192621290770604,"חוש""ן - Hoshen","חוש""ן - Hoshen",175,2
100849682799685,Omri saada,Omri Saada,170,5
304921469636475,סיכוי-אופוק سيكوي-أفق,עמותת סיכוי-אופוק,170,2
106312855451533,גל אשכנזי שטיינבאום,Gal Ashkenazi Shteinbaum,170,1
2087629251480875,רונן מרלי - Ronen Marelly,רונן מרלי - Ronen Marelly,164,1
250947744954005,התנועה הקיבוצית,התנועה הקיבוצית,158,2
1484712825147171,Tomer Warsha Adv • Immigration to Israel • Aliya • Immigrants • Citizenship,"משרד עו""ד תומר ורשה",153,8
155300937864628,המרכז להעצמת האזרח,המרכז להעצמת האזרח,153,1
252249218636564,אג'יק أجيك Ajeec Nisped,אג'יק أجيك Ajeec Nisped,151,1
33942762466,Shalom Hartman Institute מכון שלום הרטמן,Shalom Hartman Institute - מכון שלום הרטמן,151,8
474051222631952,Think&Drink Different,Think&Drink Different,145,4
283691218336732,كيان تنظيم نسوي Kayan - Palestinian Feminist Organization,كيان تنظيم نسوي Kayan - Palestinian Feminist Organization,144,3
519587265446919,יוראי להב הרצנו - Yorai Lahav Hertzanu,Yorai Lahav Hertzanu,143,2
1197610913585169,אורנה ברביבאי - Orna Barbivay,Or Ben Dori,137,1
