Location name,Amount spent (NGN)
Abia State,1902
Adamawa State,1136
Akwa Ibom State,4032
Anambra State,2410
Bauchi State,767
Bayelsa State,486
Benué State,1463
Borno State,1322
Cross River State,1655
Delta State,13373
Ebonyi State,521
Edo State,1720
Ekiti State,793
Enugu State,1511
Federal Capital Territory,10653
Gombe State,529
Imo State,864
Jigawa State,263
Kaduna State,4602
Kano State,5557
Katsina State,832
Kebbi State,283
Kogi State,912
Kwara State,3652
Lagos State,25071
Nasarawa State,935
Niger State,1403
Ogun State,1739
Ondo State,1988
Osun State,2141
Oyo State,8720
Plateau State,4408
Rivers State,4278
Sokoto State,1757
Taraba State,579
Unknown,≤100
Yobe State,555
Zamfara State,511
