Location name,Amount spent (NGN)
Abia State,1906
Adamawa State,893
Akwa Ibom State,1305
Anambra State,1732
Bauchi State,616
Bayelsa State,384
Benué State,4401
Borno State,888
Cross River State,6273
Delta State,3164
Ebonyi State,503
Edo State,1645
Ekiti State,394
Enugu State,1176
Federal Capital Territory,8069
Gombe State,1806
Imo State,2894
Jigawa State,211
Kaduna State,2620
Kano State,2786
Katsina State,593
Kebbi State,170
Kogi State,515
Kwara State,2032
Lagos State,16409
Nasarawa State,590
Niger State,1137
Ogun State,1038
Ondo State,844
Osun State,881
Oyo State,4514
Plateau State,1511
Rivers State,8035
Sokoto State,1687
Taraba State,1791
Unknown,≤100
Yobe State,354
Zamfara State,1283
