Location name,Amount spent (NGN)
Abia State,1716
Adamawa State,1095
Akwa Ibom State,1833
Anambra State,1672
Bauchi State,1094
Bayelsa State,748
Benué State,694
Borno State,923
Cross River State,1166
Delta State,2324
Ebonyi State,≤100
Edo State,1811
Ekiti State,1617
Enugu State,1508
Federal Capital Territory,19579
Gombe State,3800
Imo State,902
Jigawa State,379
Kaduna State,3337
Kano State,7012
Katsina State,1082
Kebbi State,148
Kogi State,1463
Kwara State,2543
Lagos State,23735
Nasarawa State,753
Niger State,1027
Ogun State,866
Ondo State,2100
Osun State,839
Oyo State,5201
Plateau State,2258
Rivers State,5801
Sokoto State,914
Taraba State,479
Unknown,≤100
Yobe State,1849
Zamfara State,794
