Location name,Amount spent (NGN)
Abia State,6956
Adamawa State,2123
Akwa Ibom State,3885
Anambra State,7984
Bauchi State,1978
Bayelsa State,1438
Benué State,1689
Borno State,2027
Cross River State,1655
Delta State,3846
Ebonyi State,1225
Edo State,6580
Ekiti State,822
Enugu State,10892
Federal Capital Territory,24167
Gombe State,9487
Imo State,2002
Jigawa State,1182
Kaduna State,10269
Kano State,13923
Katsina State,1953
Kebbi State,705
Kogi State,2278
Kwara State,2800
Lagos State,73814
Nasarawa State,1614
Niger State,3448
Ogun State,1861
Ondo State,1685
Osun State,1895
Oyo State,6800
Plateau State,2413
Rivers State,18558
Sokoto State,2136
Taraba State,1096
Unknown,≤100
Yobe State,922
Zamfara State,869
