Location name,Amount spent (NGN)
Abia State,1343
Adamawa State,762
Akwa Ibom State,1006
Anambra State,3206
Bauchi State,426
Bayelsa State,900
Benué State,451
Borno State,724
Cross River State,557
Delta State,64107
Ebonyi State,1558
Edo State,588
Ekiti State,149
Enugu State,812
Federal Capital Territory,7006
Gombe State,1476
Imo State,676
Jigawa State,≤100
Kaduna State,1973
Kano State,1957
Katsina State,653
Kebbi State,≤100
Kogi State,326
Kwara State,602
Lagos State,20978
Nasarawa State,404
Niger State,783
Ogun State,679
Ondo State,445
Osun State,464
Oyo State,2265
Plateau State,906
Rivers State,4438
Sokoto State,1184
Taraba State,129
Unknown,≤100
Yobe State,335
Zamfara State,261
