Location name,Amount spent (NGN)
Abia State,40858
Adamawa State,9748
Akwa Ibom State,13642
Anambra State,19682
Bauchi State,6934
Bayelsa State,5154
Benué State,8974
Borno State,7299
Cross River State,4963
Delta State,21384
Ebonyi State,3293
Edo State,13307
Ekiti State,3062
Enugu State,19259
Federal Capital Territory,64605
Gombe State,9104
Imo State,21505
Jigawa State,1998
Kaduna State,28929
Kano State,35078
Katsina State,6195
Kebbi State,1759
Kogi State,6650
Kwara State,23069
Lagos State,238188
Nasarawa State,5597
Niger State,8151
Ogun State,6605
Ondo State,5576
Osun State,6866
Oyo State,24367
Plateau State,13770
Rivers State,42684
Sokoto State,7118
Taraba State,5205
Unknown,≤100
Yobe State,2929
Zamfara State,2516
