Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,197
Bangkok,3453
Bueng Kan,≤100
Buriram,367
Chachoengsao,182
Chai Nat,≤100
Chaiyaphum,265
Chanthaburi,117
Chiang Mai,807
Chiang Rai,295
Chon Buri,580
Chumphon,133
Kalasin,204
Kamphaeng Phet,174
Kanchanaburi,201
Khon Kaen,487
Krabi,133
Lampang,195
Lamphun,105
Loei,133
Lop Buri,171
Mae Hong Son,≤100
Maha Sarakham,278
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,260
Nakhon Phanom,159
Nakhon Ratchasima,629
Nakhon Sawan,649
Nakhon Si Thammarat,379
Nan,145
Narathiwat,197
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,420
Pathum Thani,260
Pattani,247
Phangnga,≤100
Phatthalung,178
Phayao,126
Phetchabun,212
Phetchaburi,158
Phichit,147
Phitsanulok,506
Phrae,111
Phuket,176
Prachin Buri,267
Prachuap Khiri Khan,191
Ranong,≤100
Ratchaburi,195
Rayong,243
Roi Et,284
Sa Kaeo,126
Sakon Nakhon,241
Samut Prakan,169
Samut Sakhon,180
Samut Songkhram,≤100
Saraburi,152
Satun,≤100
Sing Buri,≤100
Sisaket,239
Songkhla,3952
Sukhothai,175
Suphan Buri,221
Surat Thani,251
Surin,327
Tak,167
Trang,151
Trat,≤100
Ubon Ratchathani,355
Udon Thani,306
Unknown,≤100
Uthai Thani,119
Uttaradit,155
Yala Province,169
Yasothon,108
