Location name,Amount spent (NGN)
Abia State,4722
Adamawa State,3751
Akwa Ibom State,3123
Anambra State,29029
Bauchi State,3084
Bayelsa State,3225
Benué State,2302
Borno State,2890
Cross River State,1308
Delta State,135487
Ebonyi State,917
Edo State,4012
Ekiti State,1072
Enugu State,5921
Federal Capital Territory,12512
Gombe State,5164
Imo State,3147
Jigawa State,1158
Kaduna State,14696
Kano State,13275
Katsina State,2763
Kebbi State,2521
Kogi State,1544
Kwara State,4453
Lagos State,107703
Nasarawa State,1596
Niger State,2988
Ogun State,7265
Ondo State,1586
Osun State,1923
Oyo State,7320
Plateau State,3382
Rivers State,9646
Sokoto State,2839
Taraba State,2051
Unknown,≤100
Yobe State,1486
Zamfara State,1405
