Location name,Amount spent (NGN)
Abia State,4517
Adamawa State,7492
Akwa Ibom State,9042
Anambra State,9150
Bauchi State,5057
Bayelsa State,789
Benué State,1311
Borno State,5202
Cross River State,3790
Delta State,11190
Ebonyi State,605
Edo State,4521
Ekiti State,658
Enugu State,3872
Federal Capital Territory,54230
Gombe State,14849
Imo State,2750
Jigawa State,977
Kaduna State,11569
Kano State,11505
Katsina State,5561
Kebbi State,647
Kogi State,1314
Kwara State,3250
Lagos State,170511
Nasarawa State,2655
Niger State,4576
Ogun State,4136
Ondo State,1061
Osun State,1862
Oyo State,6484
Plateau State,5780
Rivers State,17546
Sokoto State,1798
Taraba State,1396
Unknown,≤100
Yobe State,1633
Zamfara State,889
