Page ID,Page name,Disclaimer,Amount spent (PHP),Number of ads in Library
109322002065194,EKIS,EKIS,10778,27
325780477966356,Geo 24/7,Energy Development Corporation,9572,32
1485006188181879,WES Gatchalian,WES Gatchalian,9186,8
547821942058909,Pilipinas Today,WFPH,8478,52
969917173120995,Susan Yap,Sulong Pilipinas,5888,3
150218985056317,Senator Koko Pimentel,Friends of Senator Koko Pimentel,5213,2
269175894020945,Pilipinas Today,WFPH,4002,20
952018388329788,Kathryna Yu-Pimentel,Kathryna Yu-Pimentel,3393,1
265779500134955,SM Supermalls,SM Supermalls,3232,9
112952897079549,Energy Development Corporation,Energy Development Corporation,3162,8
701517253228758,DOSTv,DOSTv,2930,9
2271543113085523,Pilipinas Today AM,WFPH,2811,9
1566478310240623,Francis Tolentino,Francis Tolentino PH,2701,19
197727873578501,Senator Migz Zubiri,Senator Migz Zubiri,2491,1
212808672071102,MWSS Regulatory Office,MWSS Regulatory Office,2174,9
154386154617,WWF-Philippines,WWF-Philippines,1743,3
105929115643626,Caroline Tanchay,Caroline Tanchay,1652,12
121843141182573,Ayala Corporation,Ayala Corporation,1575,1
495629064258114,Lolita Karen Javier,Lolita Karen Javier,1489,2
104988244674974,Mobility Awards,The Climate Reality Project Philippines,1385,9
100155158432600,The Health Center PH,The Best Healthctr Hub Ph,1382,2
100305568984268,EdukNaman,Philippine Business for Education Inc.,1286,8
226006594185958,Concentrix,These ads ran without a disclaimer,1183,1
404729389612751,"Teodorico ""Nonong"" T Haresco, Jr","Teodorico ""Nonong"" T Haresco, Jr",1172,11
100562967966954,Radyo BAHIN,WFPH,1158,11
257830240980106,Ronnie Dadivas,Roxas City United,1135,4
242562552438872,DOST-STARBOOKS,DOST-STARBOOKS,1086,3
176725369945441,Pilipinas Today,The World Tonight,1075,5
126919387470670,Rufus B. Rodriguez,Rufus B. Rodriguez,1050,6
1922749344643532,The World Tonight,The World Tonight,1015,10
351879361521039,Cong. Nonoy Libanan,Cong. Nonoy Libanan,1002,1
105909455838674,Panatag,DAKILA Philippine Collective for Modern Heroism,818,6
640234703157058,Vice Mayor Carla Valderrama,Carla's Angels,780,1
352659278684227,MP Marjanie S. Mimbantas Macasalong,MP Marjanie S. Mimbantas Macasalong,768,9
374004705980904,Philippine Business for Education,Philippine Business for Education,749,5
438159769566830,EDC BINHI,EDC BINHI,747,1
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,722,11
1759941490758280,Jerry Treñas,Jerry Treñas,711,12
113192036820162,Prof. Soc Anthony del Rosario,We Care Incorporated,665,2
1512452085732585,Stratbase ADR Institute,Stratbase ADR Institute,655,3
102550901310332,Pilipinas AHA Visayas,WFPH,646,7
608006729355847,Luisa Lloren Cuaresma,Luisa Lloren Cuaresma,637,2
558694637671776,Congressman  Pantaleon Alvarez,Congressman  Pantaleon Alvarez,636,1
197171390303624,Arlene B. Arcillas,Arlene B. Arcillas,593,1
774149009339209,The Climate Reality Project Philippines,The Climate Reality Project Philippines,589,6
207494196545897,"San Anselmo Publications, Inc.","San Anselmo Publications, Inc.",586,2
484870315381339,Foreign Correspondents Association of the Philippines,Foreign Correspondents Association of the Philippines,583,1
156752721080952,Sonny Angara,Sonny Angara,569,3
214881689042300,Sekaya,Sekaya,567,2
134063767245964,Juvenile Justice and Welfare Council,Juvenile Justice and Welfare Council,555,2
102965912000814,Congressman Hori Horibata,Congressman Hori Horibata,537,1
102886345339673,Ben Patron,Ben Patron,500,1
1424468067858949,Vice Justin Gatuslao,Vice Justin Gatuslao,477,3
103751355997012,Optum Philippines,Optum Philippines,473,1
358799977784803,Break Free From Plastic,Break Free From Plastic,454,1
186667502068528,Larry De Costa,WFPH,451,6
147975588597216,Stratbase,Stratbase,438,1
222187917795664,Social Watch Philippines,Social Watch Philippines,428,2
914556591894195,CitizenWatch Philippines,CitizenWatch Philippines,419,1
705660422953865,About Metro Pacific,WFPH,415,8
522302631184659,Philippine Business for Environmental Stewardship,Philippine Business for Environmental Stewardship,413,1
103485755951862,EDCOM 2 - Second Congressional Commission on Education,Education Commission II,403,2
112349842135719,Center for Global Best Practices,These ads ran without a disclaimer,399,1
1030706640379655,Pilipinas: Coal Free by 2030,Coal Free Philippines,394,2
105969951219886,Sibika.ph,Philippine Business for Education Inc.,364,3
110529111699411,PhilNews24,Polsure IT Services,363,1
101178932348592,Office of the Municipal Mayor - Atty. Philip A. Dacayo,Office of the Municipal Mayor - Atty. Philip A. Dacayo,363,2
105728894975533,Pilipinas Today Laguna,WFPH,349,2
323216575007190,"Councilor Kimberly ""Kim"" Ubay-ubay","Councilor Kimberly ""Kim"" Ubay-ubay",346,1
118263363420286,Pilipinas Today Ilocos,WFPH,338,2
100985303377,Valenzuela City,Valenzuela City,321,1
101935445680941,Inside Politico,Polsure,306,1
125045807185126,Arcariz Tax and Accounting Services - Bulacan,These ads ran without a disclaimer,294,1
101293149664553,ATS-Aksyon Tulong Solusyon,AKSYON TULONG SOLUSYON INC,286,1
103366018694923,Jonathan Jonsi Siytiap,Jonathan Jonsi Siytiap,283,2
106066225014933,BOKAL Dindo V. Dysico,BOKAL Dindo V. Dysico,279,1
107463358538636,planetGOLD Philippines,planetGOLD Philippines,275,4
121096004646927,"Pablo John ""PJ"" Garcia",Friends of PJ Garcia,274,3
48688071399,Greenpeace Philippines,Greenpeace Philippines,270,1
2147575852160385,Congresswoman Ann Matibag,Congresswoman Ann Matibag,270,1
100770729339080,Cong. Wilbert T. Lee,Cong. Wilbert T. Lee,266,1
1332938170076882,Tatak QC,Polsure,241,2
110099291680844,Johnson San Pedro,Johnson San Pedro,239,1
110829087227170,QC Waves Swim Club Inc.,QC WAVES SWIM CLUB INC,229,1
1710652982556834,Lee Ann Debuque,Lee Ann Debuque,228,3
100528022689066,Association of Concerned Citizens - WV,Association of Concerned Citizens - WV,226,3
234749586876960,Tyron Uy,Team Walang Iwanan,225,2
1413375762231457,Secretaria Municipal de Saúde de Tanabi.,These ads ran without a disclaimer,221,3
595181867315621,Icel Del Rosario Morales,Icel Del Rosario Morales,220,1
100107185753805,Rep. Claudine Bautista,Rep. Claudine Bautista,211,4
103206424893248,Davao Consumer Movement,Davao Consumer Movement,207,1
114540208900132,Erico Aris Aumentado,Erico Aris Aumentado,205,1
956992934491805,Jaye Lacson-Noel,Jaye Lacson-Noel,202,1
388689438381348,Mike Defensor,The Mike Defensor Organization,201,2
101399192943998,SMD Printing Services,These ads ran without a disclaimer,199,1
1669303526443380,Trendsuertres Customized Promotional Items Baller Wrist Band Keychains etc.,Trendsuertres Customized Promotional Items Baller Wrist Band Keychains etc.,198,1
1779870368752390,May JOY sa QC,Polsure,187,1
111300955049442,"CJD Accounting,  Bookkeeping and Tax Compliance Services",These ads ran without a disclaimer,186,3
402906589788713,Allianz PNB Life,Allianz PNB Life,183,1
222345887828926,CEAP,CEAP,173,2
106842254427330,PAD Awareness Ph,These ads ran without a disclaimer,172,1
146429305391505,Abante News Online,These ads ran without a disclaimer,168,1
103485942191411,Juan Bulletin,Polsure,160,1
505887912898325,Positive Energy,Energy Development Corporation,158,1
247331620535579,Mike Defensor,The Mike Defensor Organization,157,2
494887807297979,Cocolife,These ads ran without a disclaimer,154,1
541246799278871,Democracy Watch Philippines,Democracy Watch Philippines,151,1
1452648134951782,Local Government Unit of Solano,Local Government Unit of Solano,145,1
