Location name,Amount spent (NGN)
Abia State,4092
Adamawa State,3279
Akwa Ibom State,3344
Anambra State,20138
Bauchi State,3128
Bayelsa State,1012
Benué State,2231
Borno State,2787
Cross River State,656
Delta State,76597
Ebonyi State,665
Edo State,4509
Ekiti State,660
Enugu State,5221
Federal Capital Territory,9527
Gombe State,11812
Imo State,2212
Jigawa State,1118
Kaduna State,7727
Kano State,11461
Katsina State,2466
Kebbi State,11343
Kogi State,1486
Kwara State,3451
Lagos State,98943
Nasarawa State,1656
Niger State,3855
Ogun State,6049
Ondo State,1632
Osun State,1814
Oyo State,5787
Plateau State,3392
Rivers State,8171
Sokoto State,4088
Taraba State,1494
Unknown,≤100
Yobe State,1453
Zamfara State,1383
