Page ID,Page name,Disclaimer,Amount spent (SGD),Number of ads in Library
176560205832891,Our SG – Home of Forward SG,Our SG – Home of Forward SG,1083,38
219541704832846,National Reading Movement,National Reading Movement,775,5
160823460655497,Lianhe Zaobao 联合早报,Lianhe Zaobao 联合早报,508,25
129011692114,The Straits Times,The Straits Times,494,33
108973843175,WWF-Singapore,WWF – World Wide Fund for Nature (Singapore),279,10
176678252464215,OCBC Bank,OCBC Bank,243,1
626687907492630,MOSG,Millennials of Singapore,186,1
256953359544240,ExxonMobil Singapore,ExxonMobil,≤100,2
365481993536188,TAFEP Tripartite Alliance for Fair and Progressive Employment Practices,TAFEP,≤100,18
359422924132462,Children's Cancer Foundation,"Phua Min Jiang, Dennison",≤100,18
101963408923046,Real Estate Insight,Sim Hanwen,≤100,6
1485486608381824,Singapore Chinese Cultural Centre 新加坡华族文化中心,Singapore Chinese Cultural Centre,≤100,2
467260466759436,Global Ehsan Relief,Global Ehsan Relief,≤100,3
98673036962,ROLDA,These ads ran without a disclaimer,≤100,5
107438165051346,Singapore One,These ads ran without a disclaimer,≤100,2
117783364246498,H Store,These ads ran without a disclaimer,≤100,2
1389010631425852,World Scientific Singapore,World Scientific Publishing Co. Pte Ltd,≤100,4
105193687974134,TWC2 Tamil,Transient Workers Count Too - TWC2,≤100,1
166565800052060,ConnexionSG,Nexus,≤100,1
105640164784251,Singapore United Party,Zhu Laicheng,≤100,1
1540232876241171,Wavin Asia Pacific,These ads ran without a disclaimer,≤100,1
103148025357949,Château de Malengin,These ads ran without a disclaimer,≤100,1
106256777922958,SEA Today News,These ads ran without a disclaimer,≤100,1
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
142329112477770,البنك الدولي,These ads ran without a disclaimer,≤100,2
100432322646591,Magnom Properties,These ads ran without a disclaimer,≤100,2
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
102211979093712,EdHeroes,These ads ran without a disclaimer,≤100,1
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,1
100466846248633,AI Mage,These ads ran without a disclaimer,≤100,3
155677885272,RFI 华语 - 法国国际广播电台,These ads ran without a disclaimer,≤100,1
226641550769331,Dilmah Conservation,These ads ran without a disclaimer,≤100,1
