Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,246
Bangkok,5217
Bueng Kan,≤100
Buriram,238
Chachoengsao,184
Chai Nat,≤100
Chaiyaphum,167
Chanthaburi,125
Chiang Mai,1665
Chiang Rai,217
Chon Buri,574
Chumphon,117
Kalasin,123
Kamphaeng Phet,837
Kanchanaburi,191
Khon Kaen,337
Krabi,≤100
Lampang,166
Lamphun,146
Loei,115
Lop Buri,144
Mae Hong Son,≤100
Maha Sarakham,148
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,242
Nakhon Phanom,≤100
Nakhon Ratchasima,715
Nakhon Sawan,250
Nakhon Si Thammarat,307
Nan,≤100
Narathiwat,≤100
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,425
Pathum Thani,279
Pattani,126
Phangnga,≤100
Phatthalung,113
Phayao,≤100
Phetchabun,146
Phetchaburi,137
Phichit,178
Phitsanulok,969
Phrae,≤100
Phuket,474
Prachin Buri,116
Prachuap Khiri Khan,139
Ranong,≤100
Ratchaburi,301
Rayong,284
Roi Et,168
Sa Kaeo,105
Sakon Nakhon,167
Samut Prakan,226
Samut Sakhon,168
Samut Songkhram,≤100
Saraburi,176
Satun,≤100
Sing Buri,≤100
Sisaket,204
Songkhla,1725
Sukhothai,197
Suphan Buri,174
Surat Thani,246
Surin,210
Tak,152
Trang,118
Trat,≤100
Ubon Ratchathani,328
Udon Thani,261
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,110
Yasothon,≤100
