Location name,Amount spent (NGN)
Abia State,4869
Adamawa State,3180
Akwa Ibom State,3544
Anambra State,9722
Bauchi State,5385
Bayelsa State,3448
Benué State,2527
Borno State,2800
Cross River State,1260
Delta State,13637
Ebonyi State,949
Edo State,3837
Ekiti State,1057
Enugu State,6039
Federal Capital Territory,12535
Gombe State,7410
Imo State,2688
Jigawa State,2146
Kaduna State,10012
Kano State,31154
Katsina State,4213
Kebbi State,6959
Kogi State,2133
Kwara State,4065
Lagos State,32487
Nasarawa State,1659
Niger State,4279
Ogun State,4480
Ondo State,1651
Osun State,2470
Oyo State,7310
Plateau State,4163
Rivers State,14523
Sokoto State,4461
Taraba State,1697
Unknown,≤100
Yobe State,1735
Zamfara State,1654
