Location name,Amount spent (NGN)
Abia State,644
Adamawa State,1040
Akwa Ibom State,432
Anambra State,660
Bauchi State,777
Bayelsa State,1226
Benué State,299
Borno State,670
Cross River State,212
Delta State,984
Ebonyi State,116
Edo State,960
Ekiti State,168
Enugu State,599
Federal Capital Territory,6330
Gombe State,449
Imo State,463
Jigawa State,239
Kaduna State,2224
Kano State,3451
Katsina State,731
Kebbi State,957
Kogi State,461
Kwara State,1702
Lagos State,13301
Nasarawa State,400
Niger State,1174
Ogun State,1801
Ondo State,397
Osun State,669
Oyo State,1513
Plateau State,1160
Rivers State,1842
Sokoto State,658
Taraba State,373
Unknown,≤100
Yobe State,482
Zamfara State,313
