Location name,Amount spent (NGN)
Abia State,3145
Adamawa State,1354
Akwa Ibom State,2577
Anambra State,1243
Bauchi State,1900
Bayelsa State,483
Benué State,1478
Borno State,1177
Cross River State,1754
Delta State,11430
Ebonyi State,509
Edo State,1534
Ekiti State,1262
Enugu State,1379
Federal Capital Territory,10065
Gombe State,628
Imo State,2874
Jigawa State,231
Kaduna State,4378
Kano State,5017
Katsina State,959
Kebbi State,270
Kogi State,755
Kwara State,1766
Lagos State,31866
Nasarawa State,763
Niger State,1367
Ogun State,1248
Ondo State,1776
Osun State,1436
Oyo State,9363
Plateau State,2284
Rivers State,3573
Sokoto State,1202
Taraba State,3372
Unknown,≤100
Yobe State,616
Zamfara State,573
