Page ID,Page name,Disclaimer,Amount spent (BAM),Number of ads in Library
332950850203871,Драшко Станивуковић - Draško Stanivuković,Драшко Станивуковић,≤100,6
113041725065224,Pravna sigurnost je zakon / Правна сигурност је закон,OHR,≤100,5
111544041335161,Antikorupcija info,Antikorupcija.info,≤100,24
1533737623509285,SNSD Banja Luka - СНСД Бања Лука,SNSD - Gradski odbor Banja Luka,≤100,1
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100,8
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100,16
109652028193268,Revizije info,Revizije info,≤100,13
197596636939679,tacno.net,Tacno.net,≤100,1
1570886583203959,Poslovni portal Capital.ba,Capital Media,≤100,9
162926690478548,Oslobodjenje,Oslobodjenje,≤100,2
104992122558073,Valter.Portal,Valter.Portal,≤100,2
147315858633088,Istinomjer,Istinomjer,≤100,14
184286258994892,Др Ненад Стевандић,Ujedinjena Srpska,≤100,1
109774791831087,Славенко Ристић - лидер Републичке странке Српске,Славенко Ристић - лидер Републичке странке Српске,≤100,1
1676047195961611,Impuls,"Udruženje građana ""Impuls""",≤100,2
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100,3
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,≤100,2
2401351939921390,Raport.ba,Raport Media Group,≤100,1
1473660889517303,Irfan Čengić,Irfan Čengić,≤100,1
222968021092962,RTV Slon - Tuzla,RTV SLON,≤100,3
100733242113653,Porodice 3 plus,Porodice 3 plus,≤100,3
294088307352,Direkt Portal,"Udruženje građana ""Druga priča"" - Direkt portal",≤100,3
747053091978616,Fokus.ba,FOKUS d.o.o. Sarajevo,≤100,1
1562489730733029,Internationale Büros,These ads ran without a disclaimer,≤100,1
326185650853734,Zukan Helez,OO SDP BiH Bugojno,≤100,2
103088084884704,Fondacija Atelje za društvene promjene - ACT,Fondacija Atelje za društvene promjene - ACT,≤100,2
1494057107558990,Javna rasprava,Javna rasprava,≤100,5
124306738411862,InfoRadar,Udruženje za medijski aktivizam (UMA),≤100,1
101998635231382,Reporting Diversity Network,These ads ran without a disclaimer,≤100,1
102211309402201,Amir Purić,Amir Purić,≤100,1
177135323668,CEE Bankwatch Network,These ads ran without a disclaimer,≤100,1
417853371621843,Mirnes Ajanović,Mirnes Ajanović,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,1
257210261130698,Hrvatska republikanska stranka,Hrvatska republikanska stranka,≤100,1
119662071458989,Mostar Blues & Rock Festival,These ads ran without a disclaimer,≤100,1
106170661628518,香港V,These ads ran without a disclaimer,≤100,1
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100,2
104474278112457,Thiago Albuquerque,These ads ran without a disclaimer,≤100,1
85069283164,Admir Čavalić,Admir Čavalić,≤100,1
112957186910938,Brain Games,These ads ran without a disclaimer,≤100,1
143699145672946,Centri civilnih inicijativa (CCI),Centri civilnih inicijativa,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,1
139666286225597,Euranet Plus - Official,These ads ran without a disclaimer,≤100,1
315603771494,Milaap,These ads ran without a disclaimer,≤100,1
880611255347800,Phoenix TV 鳳凰衛視,These ads ran without a disclaimer,≤100,1
102209136205175,Globe2day,These ads ran without a disclaimer,≤100,1
207268042645317,Macquarie Group,These ads ran without a disclaimer,≤100,1
187794814693956,Svjetski Bošnjački Kongres - SBK,These ads ran without a disclaimer,≤100,1
