Page ID,Page name,Disclaimer,Amount spent (PHP),Number of ads in Library
128057147245421,San Mig Light,San Mig Light,41550,1
100350202335117,Benhur Abalos,Supporters and Friends of Benhur Abalos,36229,11
109322002065194,EKIS,EKIS,11346,26
1566478310240623,Francis Tolentino,Francis Tolentino PH,8861,27
547821942058909,Pilipinas Today,WFPH,8325,55
48688071399,Greenpeace Philippines,Greenpeace Philippines,6088,6
75665129515,Go Negosyo,Go Negosyo,4971,2
150218985056317,Senator Koko Pimentel,Friends of Senator Koko Pimentel,4866,1
265779500134955,SM Supermalls,SM Supermalls,3950,3
269175894020945,Pilipinas Today,WFPH,3397,22
100155158432600,The Health Center PH,The Best Healthctr Hub Ph,3184,4
558694637671776,Congressman  Pantaleon Alvarez,Congressman  Pantaleon Alvarez,2698,3
701517253228758,DOSTv,DOSTv,2449,5
325780477966356,Geo 24/7,Energy Development Corporation,2192,30
103751355997012,Optum Philippines,Optum Philippines,2090,2
109048838563356,"Doc Christine Arquiza, MD",These ads ran without a disclaimer,1851,1
2271543113085523,Pilipinas Today AM,WFPH,1810,9
154386154617,WWF-Philippines,WWF-Philippines,1792,3
214881689042300,Sekaya,Sekaya,1766,2
134063767245964,Juvenile Justice and Welfare Council,Juvenile Justice and Welfare Council,1452,5
1535594466686140,Aboitiz,Aboitiz,1397,1
113192036820162,Prof. Soc Anthony del Rosario,We Care Incorporated,1274,2
103401515144127,Atty. Migs Nograles,Atty. Migs Nograles,1205,32
1922749344643532,The World Tonight,The World Tonight,1095,14
351879361521039,Cong. Nonoy Libanan,Cong. Nonoy Libanan,1042,1
100562967966954,Radyo BAHIN,WFPH,1002,10
197727873578501,Senator Migz Zubiri,Senator Migz Zubiri,986,1
112186511545750,ACEN RES,These ads ran without a disclaimer,971,1
176725369945441,Pilipinas Today,The World Tonight,958,4
2053963044834435,Bikol Ngunian PH,Bikol Ngunian PH,895,2
1512452085732585,Stratbase ADR Institute,Stratbase ADR Institute,880,4
126919387470670,Rufus B. Rodriguez,Rufus B. Rodriguez,830,4
105909455838674,Panatag,DAKILA Philippine Collective for Modern Heroism,818,6
257830240980106,Ronnie Dadivas,Roxas City United,782,3
207494196545897,"San Anselmo Publications, Inc.","San Anselmo Publications, Inc.",762,3
2147575852160385,Congresswoman Ann Matibag,Congresswoman Ann Matibag,750,3
1759941490758280,Jerry Treñas,Jerry Treñas,714,16
242562552438872,DOST-STARBOOKS,DOST-STARBOOKS,703,1
107677344496516,Taytay Public Information Office,Taytay Public Information Office,702,1
107701168822758,Aksyon TV,Aksyon TV,701,3
100305568984268,EdukNaman,Philippine Business for Education Inc.,670,6
103485942191411,Juan Bulletin,Polsure,644,2
234749586876960,Tyron Uy,Team Walang Iwanan,639,7
104988244674974,Mobility Awards,The Climate Reality Project Philippines,601,5
110529111699411,PhilNews24,Polsure IT Services,578,1
352659278684227,MP Marjanie S. Mimbantas Macasalong,MP Marjanie S. Mimbantas Macasalong,564,5
102965912000814,Congressman Hori Horibata,Congressman Hori Horibata,544,1
102532175283826,OK si Odie Tarriela,Ok Si Odie Tarriela,536,4
156752721080952,Sonny Angara,Sonny Angara,523,3
102886345339673,Ben Patron,Ben Patron,506,1
185633641527060,Toby Tiangco,Toby Tiangco,500,1
495629064258114,Lolita Karen Javier,Lolita Karen Javier,494,3
358799977784803,Break Free From Plastic,Break Free From Plastic,470,1
147975588597216,Stratbase,Stratbase,434,1
223618785182273,Pilipinas,WFPH,423,4
103485755951862,EDCOM 2 - Second Congressional Commission on Education,Education Commission II,409,2
112349842135719,Center for Global Best Practices,These ads ran without a disclaimer,408,1
186667502068528,Larry De Costa,WFPH,399,4
774149009339209,The Climate Reality Project Philippines,The Climate Reality Project Philippines,398,5
112952897079549,Energy Development Corporation,Energy Development Corporation,397,7
522302631184659,Philippine Business for Environmental Stewardship,Philippine Business for Environmental Stewardship,397,1
914556591894195,CitizenWatch Philippines,CitizenWatch Philippines,392,1
102550901310332,Pilipinas AHA Visayas,WFPH,383,4
374004705980904,Philippine Business for Education,Philippine Business for Education,350,3
101935445680941,Inside Politico,Polsure,340,1
594546817629223,Negosyo QC,Polsure,332,1
145265112840190,Kasama Ka Sa Pag-Unlad,Polsure,330,1
705660422953865,About Metro Pacific,WFPH,324,3
1332938170076882,Tatak QC,Polsure,321,1
537843086665379,City Inquirer,City Inquirer,320,2
104955062184489,BBM Movement,UEEI Consorcia Inc,315,1
106435495112208,Mina Pilipinas,These ads ran without a disclaimer,308,1
118263363420286,Pilipinas Today Ilocos,WFPH,308,2
1030706640379655,Pilipinas: Coal Free by 2030,Coal Free Philippines,306,2
101293149664553,ATS-Aksyon Tulong Solusyon,AKSYON TULONG SOLUSYON INC,302,1
104791471946325,Random Videos on the Internet,Random Videos on the Internet,296,1
730640463621024,Tanauan Leyte - A Delightful Place,Tanauan Leyte - A Delightful Place,267,2
308357979560418,Duterte News,Duterte News,266,1
104291395914077,Nuclear Supporters PH,Nuclear Supporters PH,266,2
106842254427330,PAD Awareness Ph,These ads ran without a disclaimer,264,1
138279376537685,Bebot Rodriguez,Bebot Rodriguez,259,3
308668033138598,"Vice Mayor Angelito ""Totie"" Lazaro Jr.","Vice Mayor Angelito ""Totie"" Lazaro Jr.",228,3
107439155989086,USAID Philippines,These ads ran without a disclaimer,225,1
112377718554393,Jan Jan Lim,These ads ran without a disclaimer,222,1
222187917795664,Social Watch Philippines,Social Watch Philippines,219,1
107463358538636,planetGOLD Philippines,planetGOLD Philippines,218,3
212808672071102,MWSS Regulatory Office,MWSS Regulatory Office,213,1
1669303526443380,Trendsuertres Customized Promotional Items Baller Wrist Band Keychains etc.,Trendsuertres Customized Promotional Items Baller Wrist Band Keychains etc.,208,1
2103172176611007,Aksyon Demokratiko,Aksyon Demokratiko,202,1
1268558203225385,Ortea Criminology Review Center,These ads ran without a disclaimer,194,1
110190618664751,Gov. Christian Noveras,Gov. Christian Noveras,192,3
101308502203590,Congressman Romeo S. Momo Sr.,Congressman Romeo S. Momo Sr.,192,1
102945868989055,Honda Cars Manila Bay- Yssa Reyes,These ads ran without a disclaimer,190,1
166107624078770,Camanava News,Camanava News,189,2
237494442937195,Daily Guardian,Prometheus,174,1
402906589788713,Allianz PNB Life,Allianz PNB Life,174,1
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,169,1
101002224779138,J’s Heavy Equipment Rental Hub,These ads ran without a disclaimer,164,1
541246799278871,Democracy Watch Philippines,Democracy Watch Philippines,157,1
101399192943998,SMD Printing Services,These ads ran without a disclaimer,156,1
402094303169317,BWI Global Union,BWI Global Union,155,1
105969951219886,Sibika.ph,Philippine Business for Education Inc.,151,1
1111819189015891,DNX News,DNX News,145,1
1424468067858949,Vice Justin Gatuslao,Vice Justin Gatuslao,133,1
111568555163636,ALquin Xavier,These ads ran without a disclaimer,132,1
100668628818013,Bim Ignacio,Bim Ignacio,129,1
226677414910322,Congresswoman Baby Aline Vargas Alfonso,Congresswoman Baby Aline Vargas Alfonso,125,1
102096659031494,Cong. Arnan C. Panaligan - House of Representatives,Cong. Arnan C. Panaligan - House of Representatives,119,2
407604493105131,"PBA: Politika, Basketbol, at Artista","PBA: Politika, Basketbol, at Artista",115,1
105894749077530,Ka Pina Garcia,Ka Pina Garcia,113,1
2212884415462284,Tefora's Tax and Accounting Services,Tefora's Tax and Accounting Services,108,1
107639722030435,AVR Plant Nursery,These ads ran without a disclaimer,≤100,1
239155093467618,YuR Souvenir Shop,These ads ran without a disclaimer,≤100,1
1059668787439189,Balboa Digital Ph,These ads ran without a disclaimer,≤100,1
154519977908138,Department of Social Welfare and Development,Department of Social Welfare and Development,≤100,1
956992934491805,Jaye Lacson-Noel,Jaye Lacson-Noel,≤100,1
100528022689066,Association of Concerned Citizens - WV,These ads ran without a disclaimer,≤100,1
454536418241945,MakeSense,MakeSense Asia,≤100,1
107288727788773,"Integrated Democracy & Development for Meaningful Progress, Inc.",These ads ran without a disclaimer,≤100,2
100107185753805,Rep. Claudine Bautista,Rep. Claudine Bautista,≤100,1
101082242758012,Asenso News Iligan City,Asenso News Iligan City,≤100,1
108196852140426,Carl Balita Review Center CBRC Las Pinas,These ads ran without a disclaimer,≤100,1
104145285031597,Mayor Sammy Co,Mayor Sammy Co,≤100,1
104595105786231,Pinoy OFW Network,Message Doctor PH Company,≤100,1
104822448289960,Jc Apparel,These ads ran without a disclaimer,≤100,1
113167608417757,Pia Atutubo SK Chairwoman,Pia Atutubo SK Chairwoman,≤100,1
1057871254302944,Roland Lights and Sounds,These ads ran without a disclaimer,≤100,1
104246114777292,Mayor Marjorie “Joie” Perales,Mayor Marjorie “Joie” Perales,≤100,1
104864401130206,Larry Malanday,These ads ran without a disclaimer,≤100,1
529901257160994,Paz Radaza,Klin Mar Mejo,≤100,1
111300955049442,"CJD Accounting,  Bookkeeping and Tax Compliance Services",These ads ran without a disclaimer,≤100,1
247293985334738,The Master's Academy International,These ads ran without a disclaimer,≤100,1
1843604512547218,Bulacan Affordable House and Lot For Sale,These ads ran without a disclaimer,≤100,1
110505531540054,Hon. Tata Ortega-Casetta,Hon. Tata Ortega-Casetta,≤100,2
101920176176087,Anne Katherine Gomez,These ads ran without a disclaimer,≤100,1
366797844060990,Now You Know,Now You Know,≤100,1
123630807721423,Q-nal's Computer Printing Shop & Gen. Merchandise,These ads ran without a disclaimer,≤100,1
105679449175693,Michael Villanueva Abcede,These ads ran without a disclaimer,≤100,1
1513598595608136,Konsehal Phillip Yerro Kimpo,Konsehal Phillip Yerro Kimpo,≤100,1
204145946270678,Provincial Government of La Union,Provincial Government of La Union,≤100,1
111679394767549,المشروع القومي لمشتقات البلازما,These ads ran without a disclaimer,≤100,1
101779124979467,BasisTables,These ads ran without a disclaimer,≤100,1
114800534893965,Ligtas na Pilipinas,Message Doctor PH Company,≤100,2
111303025104461,Yarn ang Pinoy,The Message Booster Corp.,≤100,1
121005457662407,Ấn kích Vào Nhận Ngay Kết Quả Miền Nam Chuẩn,These ads ran without a disclaimer,≤100,1
100168528978115,It's Time to Chill,These ads ran without a disclaimer,≤100,1
117352551390847,DQS: SEAT of POWER,These ads ran without a disclaimer,≤100,1
101311725669928,Gethappyday,These ads ran without a disclaimer,≤100,1
103658718861482,Primeclass Photo,These ads ran without a disclaimer,≤100,3
102556029420226,Okie Girl Brands,These ads ran without a disclaimer,≤100,1
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,1
699949530371427,Life Listener,These ads ran without a disclaimer,≤100,1
296438217073791,11th Hour Racing,These ads ran without a disclaimer,≤100,1
