Page ID,Page name,Disclaimer,Amount spent (XAF),Number of ads in Library
221346451609520,Vadim Osdet Mvouba,Magikcommunication,10823,3
107459284364594,Muana Mboka 242 Média,These ads ran without a disclaimer,1232,1
101877172901764,precieuxmassoueme,These ads ran without a disclaimer,616,1
100127795998502,Coopérative Agricole-CAPPAS,These ads ran without a disclaimer,142,1
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,1
111679394767549,المشروع القومي لمشتقات البلازما,These ads ran without a disclaimer,≤100,1
117352551390847,DQS: SEAT of POWER,These ads ran without a disclaimer,≤100,1
100280859393198,Jinchuan Group,These ads ran without a disclaimer,≤100,1
147710335240518,Eindhovens Dagblad,These ads ran without a disclaimer,≤100,1
2231696263590705,Conseil Consultatif de la Jeunesse,These ads ran without a disclaimer,≤100,1
223495844457800,China Plus Culture,These ads ran without a disclaimer,≤100,1
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,1
416731498371213,Saved To Serve,These ads ran without a disclaimer,≤100,1
606117676714191,Yoyoasema,These ads ran without a disclaimer,≤100,1
1802248836771260,Weird Little Tales,These ads ran without a disclaimer,≤100,1
102362441995428,salahshou,These ads ran without a disclaimer,≤100,1
