Location name,Amount spent (EGP)
Al Sharqia Governorate,3925
Alexandria Governorate,3826
Aswan Governorate,687
Asyut Governorate,1526
Beheira Governorate,2244
Beni Suef Governorate,1010
Cairo Governorate,8908
Dakahlia Governorate,5495
Damietta Governorate,1237
Faiyum Governorate,1018
Gharbia Governorate,3105
Giza Governorate,2590
Ismailia Governorate,1256
Kafr el-Sheikh Governorate,1827
Luxor Governorate,444
Matrouh Governorate,395
Minya Governorate,1790
Monufia Governorate,2278
New Valley Governorate,173
North Sinai Governorate,346
Port Said Governorate,986
Qalyubia Governorate,2509
Qena Governorate,1090
Red Sea Governorate,388
Sohag Governorate,2160
South Sinai Governorate,175
Suez Governorate,547
Unknown,≤100
