Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
149388985089327,L'Oréal Paris,L’Oreal Polska Sp z o.o.,6077,20
100947022065093,Okresowa Koalicja,Okresowa Koalicja,2835,9
1683534065241470,OKO.press,OKO.press,1194,39
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,1194,35
107898832590939,European Commission,European Commission,1181,4
144808095552639,ING Polska,ING Polska,1067,10
344620515579640,Fundacja Równość.org.pl,Fundacja Równość.org.pl,1052,29
178362315106,European Parliament,European Parliament,1010,4
102811109411234,Do:łącz,Dołącz,894,3
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,823,14
57544755889,Amnesty International Polska,Amnesty International Polska,800,34
1227194230675141,Pratia,Pratia SA,647,7
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,576,5
513969188677442,Compassion Polska,Compassion Polska,540,10
292640324174614,Hellozdrowie.pl,Redakcja Hello Zdrowie,519,3
276860619087002,Sylwester Tułajew,Sylwester Tułajew,512,4
1465965073732774,Łukasz Kohut,Łukasz Kohut,500,1
228168274881,wysokieobcasy,wysokieobcasy,480,7
130220166122,Kupuj odpowiedzialnie,Kupuj odpowiedzialnie,470,3
578864425792499,Ośrodek Monitorowania Antypolonizmu,Fundacja Ośrodek Monitorowania Antypolonizmu,456,4
142218132483199,Kasa Stefczyka,Kasa Stefczyka,454,10
108301418501661,Odszkodowania Za Represje 1944-1989,Łukasz Świątek,442,8
113143203693,Santander Bank Polska,Santander Bank Polska,425,5
105636040979969,Polska 2050,Polska 2050 Szymona Hołowni,415,3
178415208919146,Solidarna Polska,Solidarna Polska,406,3
111778487054045,TOGETAIR,Kamil Magot,351,6
182038191908977,Cyfryzacja KPRM,Kancelaria Prezesa Rady Ministrów,343,7
164968446888637,Ministerstwo Sprawiedliwości,Ministerstwo Sprawiedliwości,341,1
74863922834,Krytyka Polityczna,Krytyka Polityczna,337,22
142614625077,WWF Polska,WWF Polska,335,4
142361819657439,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,327,1
