Location name,Amount spent (NGN)
Abia State,1224
Adamawa State,1262
Akwa Ibom State,3543
Anambra State,876
Bauchi State,1174
Bayelsa State,1329
Benué State,2278
Borno State,1660
Cross River State,1248
Delta State,2773
Ebonyi State,563
Edo State,1030
Ekiti State,437
Enugu State,974
Federal Capital Territory,12830
Gombe State,1984
Imo State,664
Jigawa State,401
Kaduna State,4508
Kano State,5641
Katsina State,1151
Kebbi State,493
Kogi State,1034
Kwara State,1659
Lagos State,16574
Nasarawa State,1053
Niger State,3621
Ogun State,853
Ondo State,923
Osun State,1096
Oyo State,5143
Plateau State,2463
Rivers State,6004
Sokoto State,1239
Taraba State,576
Unknown,≤100
Yobe State,794
Zamfara State,861
