Location name,Amount spent (NGN)
Abia State,3386
Adamawa State,963
Akwa Ibom State,2720
Anambra State,1951
Bauchi State,885
Bayelsa State,2607
Benué State,1634
Borno State,1604
Cross River State,1134
Delta State,2706
Ebonyi State,631
Edo State,3220
Ekiti State,1118
Enugu State,2024
Federal Capital Territory,9374
Gombe State,406
Imo State,1602
Jigawa State,169
Kaduna State,3706
Kano State,5789
Katsina State,582
Kebbi State,208
Kogi State,1686
Kwara State,1712
Lagos State,20571
Nasarawa State,657
Niger State,1424
Ogun State,1160
Ondo State,1361
Osun State,1407
Oyo State,7870
Plateau State,2492
Rivers State,5258
Sokoto State,3646
Taraba State,1722
Unknown,≤100
Yobe State,386
Zamfara State,285
