Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
161213770567846,Operation Smile Sverige,Operation Smile Sverige,28038,8
608975645850217,Vattenfall,Vattenfall Sverige,23839,8
149155351773944,SEB,SEB,21905,2
369122343101775,e.on,E.ON Sverige AB,15471,4
197334613725511,Act Svenska kyrkan,Act Svenska kyrkan,13876,10
109886133732943,RESCUE - Sverige,RESCUE - Sverige,11693,2
126567104406,Hyresgästföreningen,Hyresgästföreningen,10979,64
72659261793,Rädda Barnen,Rädda Barnen,9837,66
114526821939129,Arla,Arla,9091,5
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,8442,2
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,7229,24
369582590803,Dagens ETC,ETC-tidningarna,7191,43
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),6797,28
111630258867610,Röda Korset,Röda Korset,6080,16
162985227114132,Skellefteå Kraft,Skellefteå Kraft,3817,3
101341883359561,Matsmart Sverige,Matsmart,3616,9
382243262003,Plan International Sverige,Plan International Sverige,3538,22
149155351773944,SEB,Skandinaviska Enskilda Banken,3215,3
186513678039755,Fortum,Fortum Sverige,2874,32
110723197258182,Sverige inför verkligheten,Sverige inför verkligheten,2862,6
279974638809211,Oxfam Sverige,Oxfam Sverige,2838,3
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,2753,62
95735961890,Greenpeace Sverige,Greenpeace Sverige,2653,68
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,2525,9
59324455950,UNICEF Sverige,UNICEF Sverige,2111,15
18880778360,ActionAid Sweden,ActionAid Sweden,2103,12
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,1968,41
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,1931,28
111699453757094,Soft Towel Games,These ads ran without a disclaimer,1869,3
42676805259,Diakonia,Diakonia,1853,5
175843834306,WaterAid Sverige,WaterAid Sverige,1832,18
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,1707,5
299065246064,"Seko, Service- och kommunikationsfacket","Seko, Service- och kommunikationsfacket",1538,5
12690894340,Centerpartiet,Centerpartiet,1525,13
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,1460,8
91818886532,We Effect,We Effect,1444,3
111912817167925,Samtidigt i Sverige,Aktuellt i Politiken,1307,1
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,1267,25
195379633820701,Svenskt Kött,Svenskt Kött,1143,4
212049035488183,The Hunger Project Sverige,The Hunger Project Sverige,1130,1
576845979156129,Techarenan,Techarenan,1026,16
314872662206,Ekonomifakta,Ekonomifakta,952,62
1419307421424959,Demokraterna,Demokraterna,926,1
440345132668081,UL,UL,922,1
108242974113305,Plantmore - for climate,Plantmore - for climate,891,2
212604496324,Fackförbundet ST,Fackförbundet ST,841,106
118090278221826,Erikshjälpen,Erikshjälpen,834,6
178362315106,European Parliament,European Parliament,813,12
296423575695,Afrikagrupperna,Afrikagrupperna,770,11
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,740,22
103296115466644,Skattenytta,Kommissionen för Skattenytta,726,7
1495636290691848,Vänsterpartiet Stockholms stad,Vänsterpartiet Stockholm stad,708,6
309283471958,Hyresgästföreningen Region Sydost,Hyresgästföreningen Region Sydost,699,27
107081822705414,Småföretagarnas Riksförbund,Småföretagarnas Riksförbund,677,2
106579105171694,ETC nyhetsmagasin,ETC Media AB,656,2
266170183550491,Nya Kompisbyrån,Nya Kompisbyrån,650,14
1531320107133721,Syre,Dagens O2 AB,582,4
273053169937029,ClimateHero,ClimateHero,579,7
166406746310,Resumé,Resumé,576,2
304506059702034,Tidningen Fönstret,Tidningen Fönstret,566,4
133148933394485,Socialdemokraterna i Malmö,Socialdemokraterna i Malmö,563,3
8040892957,Socialdemokraterna,Socialdemokraterna,561,6
534553447006742,Klimatklubben,Klimatklubben,552,5
328754490337,Vårdförbundet,Vårdförbundet,532,29
965458110149319,Byggindustrin,Byggindustrin,522,2
277541019375317,Jämställdhetsmyndigheten,Jämställdhetsmyndigheten,506,3
899603916845362,JAG Personlig assistans,JAG Personlig assistans,501,3
1534982756793690,Foodvisor,These ads ran without a disclaimer,493,5
127063960674693,Svenska Freds- och Skiljedomsföreningen,Svenska Freds- och Skiljedomsföreningen,477,2
237146235237,Timbro,Tankesmedjan Timbro,474,25
498767116802809,Vänsterpartiet Region Stockholm,Vänsterpartiet Region Stockholm,473,17
1005361066218702,Norrtåg,Norrtåg,470,1
114262485262083,Konsumentverket,Konsumentverket,451,4
163305633746125,Karneval förlag,Holviks,448,3
387421644643053,Hyresgästföreningen BohusÄlvsborg-Skaraborg,Hyresgästföreningen BohusÄlvsborg-Skaraborg,424,20
237287320360804,Omtanke.today,Jenny Fors,412,7
127757523931098,Emrahus AB,Emrahus AB,403,3
100401226296083,SFP i Stockholm,SFP i Stockholm,397,2
171919835807,TCO,TCO,384,6
286987014656068,Socialdemokraterna Solna,Socialdemokraterna Solna,383,2
198547346848470,Vänsterpartiet Linköping,Holmberg Erik Dennis Tobias,372,1
179931025357058,Kommunal,Kommunal,370,3
208751565805849,Stiftelsen Expo,Stiftelsen Expo,357,1
129841741852473,Folkhälsodalen,Folkhälsodalen,339,18
539297539496434,Dagens Samhälle,Dagens Samhälle,331,1
355819811185620,Arba Kokalari,Moderaterna,326,2
103945879157509,Nordea Fonder,Nordea Funds AB,318,2
312084019369,Dagens Medicin,Dagens Medicin,318,1
239855722130,Nyhetsmagasinet Fokus,Fokus,290,7
1633181116933852,SvD Junior,SvD Junior (SvD),290,14
129664437103456,Medicinska fakulteten vid Lunds universitet,Medicinska fakulteten vid Lunds universitet,272,2
111842515680597,Hyresgästföreningen Norrland,Hyresgästföreningen,271,18
113710601984970,Barnfonden,Barnfonden,271,5
130148200513245,Amazon Watch Sverige,Amazon Watch Sverige,265,3
167036616661188,Sverigedemokraterna Malmö,Sverigedemokraterna Malmö,263,1
203547006337155,Göteborgs Stadsmission,Göteborgs Stadsmission,251,5
306583979393918,Fredens Hus,Fredens Hus,250,4
217391588404948,Katalys,Katalys,249,2
91217182731,Nordiska museet,Nordiska museet,244,12
163820136238,LO Sverige,Landsorganisationen Sverige,242,1
10150123858255327,Läkemedelsverket,Läkemedelsverket,235,4
505229989560231,Kristdemokraterna i Skåne,Kristdemokraterna i Skåne,234,4
129016447116122,Aktuell Hållbarhet,Aktuell Hållbarhet,233,1
183959274989548,Landsbygdsnätverket,Landsbygdsnätverket,224,4
153270724787,Amnesty International Sverige,Amnesty International Sverige,217,8
175873745789190,Vänsterpartiet Göteborg,Vänsterpartiet Göteborg,213,10
1673788782717355,Helena Storckenfeldt,Helena B A Storckenfeldt,205,2
1592395117505407,Näringslivets medieinstitut,Näringslivets Medieinstitut,201,4
735108653195373,Vänsterpartiet Haninge,Olofsson Lars-Johan Patrik,200,4
709317875766999,Judisk Kultur i Sverige,Judisk Kultur i Sverige,198,5
302201957541,Medelhavsmuseet,Världskulturmuseerna,195,3
167494870115948,Moderaterna i Lidköping,Moderaterna Lidköping,195,2
120216874723147,Svenskt Sigill,Svenskt Sigill,194,21
223302541061447,Nema Problema,Nema Problema,194,1
329452290816078,Tidningen Market,Tidningen Market,193,1
103167188072024,AFRY,These ads ran without a disclaimer,191,2
209819466173690,Region Stockholm,Region Stockholm,191,2
120745044633792,Lunds universitet,Lunds universitet,191,1
