Location name,Amount spent (NGN)
Abia State,1189
Adamawa State,1852
Akwa Ibom State,1516
Anambra State,1027
Bauchi State,1921
Bayelsa State,180
Benué State,2082
Borno State,2554
Cross River State,800
Delta State,1865
Ebonyi State,158
Edo State,1268
Ekiti State,551
Enugu State,1037
Federal Capital Territory,11216
Gombe State,1255
Imo State,842
Jigawa State,445
Kaduna State,4338
Kano State,8650
Katsina State,1671
Kebbi State,1143
Kogi State,1435
Kwara State,2288
Lagos State,16386
Nasarawa State,1019
Niger State,2351
Ogun State,1683
Ondo State,968
Osun State,1099
Oyo State,5876
Plateau State,2680
Rivers State,2196
Sokoto State,1709
Taraba State,582
Unknown,≤100
Yobe State,2106
Zamfara State,781
