Location name,Amount spent (NGN)
Abia State,771
Adamawa State,440
Akwa Ibom State,1575
Anambra State,506
Bauchi State,194
Bayelsa State,778
Benué State,334
Borno State,141
Cross River State,365
Delta State,1452
Ebonyi State,101
Edo State,448
Ekiti State,207
Enugu State,664
Federal Capital Territory,4808
Gombe State,104
Imo State,389
Jigawa State,≤100
Kaduna State,1574
Kano State,863
Katsina State,163
Kebbi State,≤100
Kogi State,1035
Kwara State,781
Lagos State,8775
Nasarawa State,440
Niger State,602
Ogun State,429
Ondo State,371
Osun State,450
Oyo State,1819
Plateau State,928
Rivers State,1365
Sokoto State,156
Taraba State,121
Unknown,≤100
Yobe State,≤100
Zamfara State,≤100
