Location name,Amount spent (NGN)
Abia State,5051
Adamawa State,1550
Akwa Ibom State,2892
Anambra State,5705
Bauchi State,2060
Bayelsa State,2018
Benué State,2024
Borno State,1904
Cross River State,1160
Delta State,4432
Ebonyi State,1264
Edo State,4979
Ekiti State,630
Enugu State,9286
Federal Capital Territory,10603
Gombe State,10266
Imo State,1857
Jigawa State,812
Kaduna State,7585
Kano State,11734
Katsina State,2769
Kebbi State,447
Kogi State,860
Kwara State,1853
Lagos State,102038
Nasarawa State,1402
Niger State,3183
Ogun State,1518
Ondo State,977
Osun State,1633
Oyo State,5282
Plateau State,2441
Rivers State,20839
Sokoto State,1732
Taraba State,790
Unknown,≤100
Yobe State,703
Zamfara State,562
