Location name,Amount spent (NGN)
Abia State,2303
Adamawa State,1482
Akwa Ibom State,1325
Anambra State,2041
Bauchi State,1224
Bayelsa State,555
Benué State,907
Borno State,1050
Cross River State,858
Delta State,46770
Ebonyi State,183
Edo State,2670
Ekiti State,265
Enugu State,3049
Federal Capital Territory,15242
Gombe State,780
Imo State,2077
Jigawa State,426
Kaduna State,9534
Kano State,10542
Katsina State,1073
Kebbi State,152
Kogi State,1831
Kwara State,1328
Lagos State,58971
Nasarawa State,703
Niger State,2192
Ogun State,9308
Ondo State,930
Osun State,892
Oyo State,4913
Plateau State,2381
Rivers State,9250
Sokoto State,1861
Taraba State,614
Unknown,≤100
Yobe State,733
Zamfara State,1378
