Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
482198868521917,Asot Michael,Asot A. Michael,948,13
486723854867439,MYUPP,United Progressive Party,535,7
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),413,20
108197841533582,St.Peter's Constituency-ABLP-,Rawdon Turner,286,1
203239449860143,Harold Lovell,United Progressive Party,278,3
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),265,14
44846920403,Dean,Athill Dean Jonas,105,4
434709106604434,Progressive Youth,United Progressive Party,105,1
105826391202074,Pearl Quinn-Williams,United Progressive Party,≤100,1
100466735989236,Kisean 'Brother Joe' Joseph,Kisean 'Brother Joe' Joseph,≤100,1
527384967635800,Richard S. Lewis,Richard Sylvester Theophilus Lewis,≤100,2
102389305793337,Anthony Stuart,Democratic National Alliance,≤100,5
108465098593385,Mario Thomas,Democratic National Alliance,≤100,1
109366510875,Chaneil Imhoff,Chaneil Imhoff,≤100,1
111347180673351,Anthony Smith Jr.,Anthony Smith,≤100,1
251067568809208,St. John's Rural North,Angelica Ayoka O'Donoghue,≤100,1
324253041382779,Xavier Cormier,These ads ran without a disclaimer,≤100,2
105848558790469,"Word Office - Reader, Editor & Viewer",These ads ran without a disclaimer,≤100,1
