Page ID,Page name,Disclaimer,Amount spent (MXN),Number of ads in Library
108995845804175,Bonafont,Bonafont,244000,12
108819392526809,Partido Acción Nacional,Partido Acción Nacional,105936,43
923633637651202,Morena Sí,Morena Sí,33092,43
112882117843391,Morena Estado de México,morenaedomex.si,32238,63
209770450386,El Gobierno de Nuevo León,Gobierno del Estado de Nuevo León,23737,2
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,21999,12
285058928236909,Mauricio Vila,Mauricio Vila,13398,33
469246976533189,Santiago Creel,SantiagoCreelM,12322,4
837607596288104,Eliseo Fernández Montufar,Community Manager,10000,2
340786939279382,Secretaría de Educación de Guanajuato SEG,Secretaría de Educación de Guanajuato,7978,18
457581867618996,Secretaría de Desarrollo Social y Humano,Secretaría de Desarrollo Social y Humano,7953,4
124047777702377,Secretaría de Gobierno de Guanajuato,Secretaría de Gobierno de Guanajuato,7944,4
2080742535476556,"Secretaría de Finanzas, Inversión y Administración","Secretaria de Finanzas, Inversión y Administración",7893,4
215836968456734,Alfonso Martínez Alcázar,Alfonso Martínez,7860,1
105728245738079,Andan Agusto,Que Siga López,7731,10
103769542576820,Quintanarroense Hoy,Quintanarroense Hoy,7213,6
122404620204,Oxfam México,OXFAM MEXICO AC,7178,4
146709175702544,Gobierno de Quintana Roo,ELEMENTAL,6992,6
371398486227348,Secretaría de Medio Ambiente y Ordenamiento Territorial,Secretaria de Medio Ambiente y Ordenamiento Territorial SMAOT,6987,7
437088163017257,Secretaría de Salud de Guanajuato,Secretaría de Salud de Guanajuato,6961,7
254852601222832,CEMEX México,CEMEX México,6929,15
354326078079338,Campaigns and Elections Mexico,Campaigns & Elections México,6739,31
178625645626125,Movimiento Ciudadano Nuevo León,Movimiento Ciudadano NL,6432,24
56713285274,Greenpeace México,Greenpeace México,6369,11
520075024716940,Movimiento Ciudadano Coahuila,Movimiento Ciudadano Coahuila,6298,2
109904378569313,La banda se mueve,labandasemueve.com,6261,58
113573477135935,Servicio de Administración Tributaria del Estado de Guanajuato,Servicio de Administración Tributaria del Estado de Guanajuato,6168,15
183751562214729,David Cortés,David Cortes,5965,4
312685741710,H. Ayuntamiento de Puebla,Ayuntamiento de Puebla,5867,8
107559512016725,Contraste News,Contraste News,5417,1
101435299357501,Ahora #EsAdán,Con Adan Si,5316,3
250717388400467,SICOMGuanajuato,SICOMGuanajuato,5266,4
589484077738887,Jorge Álvarez Máynez,Estudio Bocadillo,5259,7
1613868898897076,Waldo Fernández González,Waldo Fernández González,5221,7
273255793312747,EL INFORMANTE Edo Mex,EL INFORMANTE México,5078,7
109488981975636,Chicharrón norteño,Omar Aguirre Meneses,5073,1
108075988755990,Nayaritas con la transformación,Nayaritas con la transformación,4975,87
113990284949467,Avance y Progreso,avanceyprogreso.com,4619,58
104868202533100,Café y Noticias Mx,cafeynoticiasmx.com,4619,116
106295648496570,Infiltrados Tamaulipas,Estamos Unidos Mexicanos,4615,11
108687728744220,Caribe Noticias,Caribe Noticias,4612,4
104066812502973,La raíz del cambio,LA RAÍZ DEL CAMBIO S.A DE C.V,4228,58
102551913153712,Ricardo Monreal A.,Ricardo Monreal Ávila,4136,4
100261186230213,El cambio es juntxs,El Cambio es Juntos S.a de C.v,4120,87
105121875731197,Consumidor Informado Mx,Consumidor Informado Mx,4079,5
140242770250742,La Cuarta Transformación,La Cuarta Transformación,3983,1
133478060111915,CEMEX Impacto Social,CEMEX México,3975,12
259294300089,Gobierno de Zapopan,Gobierno de Zapopan,3779,6
100220696003610,Chisme a la Carta,Chisme a la Carta,3763,4
202456989183,Gobierno de Monterrey,Gobierno de Monterrey,3608,6
108575570895919,Carmelitas al día,Carmelitas al día,3369,1
102974085286742,Valle de la Mentefactura,Idea Gto,3331,12
108407195129937,México Villarreal,Rodolfo México Villarreal Ritchie,3140,3
133059550071850,Gobierno de Guadalajara,Gobierno de Guadalajara,3102,20
384214801745089,Samuel García,Samuel García,2752,1
1505965219699374,Salomón Chertorivski,Salomón Chertorivski,2589,3
142304549180091,Aspirantes ITAM,These ads ran without a disclaimer,2585,1
450197489139926,Jalisco Noticias,Sistema Jalisciense de Radio y Televisión,2530,30
109634395756375,Save the Children México,Save the Children México,2525,21
1734951530056727,Carmen Lilia Canturosas,Carmen Lilia Canturosas,2465,21
104680124489636,Demoscopia Digital,Demoscopia Digital,2376,59
1545555582174942,TResearch,TResearch,2354,31
105097171575007,La LOCAL Mx,La LOCAL Mx,2241,4
669306863144908,Alberto Esquer,Fernando Esquer,2178,3
343958122358178,Juan Manuel Fócil Pérez,Orquídea López,2129,14
103020708578040,Claudia Cantú,These ads ran without a disclaimer,2117,2
130352294189330,Adrián Oseguera,Adrián Oseguera,2104,2
100242005506001,Medestetic México,Medestetic México,2081,8
1583631301915573,Liborio Vidal,Liborio Vidal Aguilar,2012,11
261548570655865,Juan Angel Flores Bustamante,Juan Ángel Flores Bustamante,1894,2
380259112175320,Nueva Alianza Edomex,Nueva Alianza Estado de México,1890,2
279469625434543,Paco Cienfuegos,Paco Cienfuegos,1881,31
900777433370449,Luis Cházaro,Erandi Zapien Acevedo,1847,9
100557755099985,Convocatorias 2023,Convocatorias 2023,1778,5
345995382241686,PODER 360,PODER 360,1774,9
1452189031676518,Hyundai México,HYUNDAI MEXICO,1771,2
