Location name,Amount spent (NGN)
Abia State,10362
Adamawa State,9326
Akwa Ibom State,13361
Anambra State,9749
Bauchi State,7333
Bayelsa State,3337
Benué State,4758
Borno State,8179
Cross River State,2816
Delta State,7653
Ebonyi State,5196
Edo State,6469
Ekiti State,2350
Enugu State,8958
Federal Capital Territory,27949
Gombe State,6478
Imo State,6171
Jigawa State,2963
Kaduna State,23786
Kano State,48376
Katsina State,6162
Kebbi State,4222
Kogi State,4803
Kwara State,33888
Lagos State,74855
Nasarawa State,7431
Niger State,5275
Ogun State,4932
Ondo State,3834
Osun State,20552
Oyo State,23177
Plateau State,12001
Rivers State,21963
Sokoto State,6787
Taraba State,3360
Unknown,≤100
Yobe State,2127
Zamfara State,1897
