Location name,Amount spent (NGN)
Abia State,16341
Adamawa State,12569
Akwa Ibom State,27231
Anambra State,15673
Bauchi State,11738
Bayelsa State,1669
Benué State,29804
Borno State,11003
Cross River State,4745
Delta State,97591
Ebonyi State,3103
Edo State,12040
Ekiti State,4012
Enugu State,14837
Federal Capital Territory,41606
Gombe State,13721
Imo State,11938
Jigawa State,3600
Kaduna State,31784
Kano State,215375
Katsina State,11310
Kebbi State,3161
Kogi State,7199
Kwara State,11093
Lagos State,133095
Nasarawa State,6460
Niger State,12528
Ogun State,20376
Ondo State,7001
Osun State,9168
Oyo State,35346
Plateau State,16654
Rivers State,26092
Sokoto State,10227
Taraba State,6375
Unknown,≤100
Yobe State,4980
Zamfara State,4188
