Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,250
Bangkok,5504
Bueng Kan,105
Buriram,380
Chachoengsao,210
Chai Nat,≤100
Chaiyaphum,280
Chanthaburi,138
Chiang Mai,974
Chiang Rai,293
Chon Buri,672
Chumphon,166
Kalasin,206
Kamphaeng Phet,280
Kanchanaburi,206
Khon Kaen,605
Krabi,199
Lampang,192
Lamphun,126
Loei,158
Lop Buri,205
Mae Hong Son,≤100
Maha Sarakham,233
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,257
Nakhon Phanom,163
Nakhon Ratchasima,754
Nakhon Sawan,247
Nakhon Si Thammarat,421
Nan,138
Narathiwat,214
Nong Bua Lam Phu,≤100
Nong Khai,146
Nonthaburi,537
Pathum Thani,371
Pattani,270
Phangnga,≤100
Phatthalung,249
Phayao,107
Phetchabun,212
Phetchaburi,148
Phichit,132
Phitsanulok,261
Phrae,≤100
Phuket,207
Prachin Buri,296
Prachuap Khiri Khan,464
Ranong,≤100
Ratchaburi,265
Rayong,295
Roi Et,307
Sa Kaeo,124
Sakon Nakhon,280
Samut Prakan,223
Samut Sakhon,179
Samut Songkhram,≤100
Saraburi,226
Satun,104
Sing Buri,≤100
Sisaket,322
Songkhla,2773
Sukhothai,172
Suphan Buri,246
Surat Thani,409
Surin,352
Tak,183
Trang,174
Trat,≤100
Ubon Ratchathani,428
Udon Thani,386
Unknown,≤100
Uthai Thani,≤100
Uttaradit,133
Yala Province,249
Yasothon,128
