Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,512
Bangkok,15087
Bueng Kan,≤100
Buriram,279
Chachoengsao,472
Chai Nat,≤100
Chaiyaphum,223
Chanthaburi,190
Chiang Mai,1800
Chiang Rai,315
Chon Buri,2184
Chumphon,299
Kalasin,198
Kamphaeng Phet,211
Kanchanaburi,288
Khon Kaen,832
Krabi,308
Lampang,390
Lamphun,133
Loei,375
Lop Buri,190
Mae Hong Son,403
Maha Sarakham,181
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,781
Nakhon Phanom,254
Nakhon Ratchasima,783
Nakhon Sawan,589
Nakhon Si Thammarat,1831
Nan,≤100
Narathiwat,247
Nong Bua Lam Phu,806
Nong Khai,238
Nonthaburi,991
Pathum Thani,559
Pattani,405
Phangnga,255
Phatthalung,483
Phayao,437
Phetchabun,182
Phetchaburi,468
Phichit,448
Phitsanulok,5035
Phrae,≤100
Phuket,3580
Prachin Buri,172
Prachuap Khiri Khan,289
Ranong,≤100
Ratchaburi,381
Rayong,360
Roi Et,265
Sa Kaeo,123
Sakon Nakhon,365
Samut Prakan,558
Samut Sakhon,995
Samut Songkhram,≤100
Saraburi,217
Satun,217
Sing Buri,≤100
Sisaket,256
Songkhla,2275
Sukhothai,320
Suphan Buri,646
Surat Thani,7256
Surin,270
Tak,243
Trang,275
Trat,≤100
Ubon Ratchathani,423
Udon Thani,1020
Unknown,≤100
Uthai Thani,≤100
Uttaradit,109
Yala Province,265
Yasothon,520
