Location name,Amount spent (NGN)
Abia State,4627
Adamawa State,3043
Akwa Ibom State,4200
Anambra State,8661
Bauchi State,2727
Bayelsa State,646
Benué State,2011
Borno State,2276
Cross River State,1234
Delta State,4932
Ebonyi State,968
Edo State,4414
Ekiti State,818
Enugu State,9574
Federal Capital Territory,12417
Gombe State,2610
Imo State,2052
Jigawa State,1450
Kaduna State,12529
Kano State,13301
Katsina State,4018
Kebbi State,870
Kogi State,1940
Kwara State,3569
Lagos State,69775
Nasarawa State,1172
Niger State,6888
Ogun State,4877
Ondo State,1342
Osun State,2335
Oyo State,5854
Plateau State,3484
Rivers State,14777
Sokoto State,9656
Taraba State,1276
Unknown,≤100
Yobe State,1094
Zamfara State,1373
